Objetivo Geral,Objetivo específico,,Conhecimento principal da questão,Questão,Alternativa correta,Alternativa errada 1,Alternativa errada 2,Alternativa errada 3,Conhecimento secundário da questão
1- Diagnosticar as estruturas teciduais e dentárias,1 - Diagnosticar as características de normalidade e alterações das estruturas ósseas dos maxilares,A - Histologia e Fisiologia óssea,a - Objetivo,"Segundo Arana (2012), o tecido ósseo é caracterizado pela sua consistência dura devido ao componente mineral na sua matriz e se organiza constituindo órgãos, os ossos, que, no seu conjunto, formam o esqueleto. Assinale a alternativa incorreta em relação às funções do esqueleto.",libera constantemente minerais,proteger os órgãos,suporta os músculos,hematopoiese,não se aplica
,,,b - Células ósseas,"Em relação às células do tecido ósseo, assinale a alternativa incorreta.","Quando os osteoclastos são rodeados pela matriz óssea, ficam alojados em lacunas conectadas por finos canalículos, diminuindo sua atividade sintética, e passam a ser chamados de osteócitos.","Os osteoblastos são as células sintetizadoras e secretoras dos elementos da matriz orgânica óssea, responsável pela formação do tecido ósseo.","Os osteócitos são células contidas na matriz óssea mineralizada, sendo responsável pela sua manutenção.","Os osteoclastos são as células que reabsorvem a matriz óssea mineralizada, promovendo a remodelação.",não se aplica
,,,c - Osteogênese,Osteogênese é o termo utilizado para se referia a formação do tecido ósseo. Assinale a alternativa correta.,"A osteogênese endocondral forma uma cartilagem hialina, que gradualmente é substituída  por tecido ósseo.",A osteogênese intramembranosa ocorre principalmente na cabeça do côndilo da mandíbula.,"Na osteogênese endocondral, os osteoblastos se proliferam e formam áreas com aparência macroscópica de membrana.",Os ossos longos e a região craniofacial são produtos da osteogênese intramembranosa.,não se aplica
,,B - Classificação dos tecidos ósseos,a - Classificação macroscópica,"O volume ósseo nem sempre é suficiente para reabilitação com implantes devido ao curso natural da perda dentária, doença periodontal, fratura radicular e problemas endodônticos. Diante dessa afirmação, assinale a alternativa correta.",O uso de enxerto de bloco ósseo é uma técnica que permite devolver o volume ósseo e posicionar os implantes no local ideal com alta previsibilidade.,"A reconstrução óssea em áreas estéticas exigem sempre um grande volume ósseo, sendo os enxertos provenientes do ramo da mandíbula e da sínfise mentoniana os mais utilizados como enxerto autógeno.","A perda de volume do enxerto é inevitável, justificando pela reabsorção, dificultando o sucesso da reabilitação com implantes dentários.","O osso esponjoso tem um processo de integração e substituição mais lento, por ser mais vascularizado e celularizado, mantendo o volume do enxerto.",não se aplica
,,,b - Classificação microscópica,"Em relação à classificação do tecido ósseo, assinale a alternativa correta.",O osso lamelar apresenta seus osteócitos em fileiras.,"O osso compacto é também chamado como cortical óssea e constitui o trabeculado ósseo, enquanto o osso esponjoso está localizado, normalmente, na superfície óssea.","Macroscopicamente, o osso primário, chamado de osso imaturo, é desorganizado, enquanto o osso secundário, também chamado de osso lamelar, é formado mais lentamente.","Microscopicamente, o tecido ósseo é classificado como esponjoso e compacto.",Principal: Objetivo Geral 1; Objetivo específico 1; B.) Classificação dos tecidos ósseos; a.) Classificação macroscópica.
,,,c - Densidade óssea,Quanto ao grau de densidade óssea:,"O osso tipo II e tipo III são semelhantes, pois apresentam características tanto de osso cortical como esponjoso.","O osso tipo I apresenta dos melhores resultados no processo de osseointegração, possuindo uma espessura de cortical maior.","É indicado o uso de implante cônico para o osso tipo II, devido seu efeito de corte, enquanto o osso tipo III tem indicação para implante cilíndrico, devido sua capacidade de compactar.","O osso tipo IV é caracterizado pela baixa densidade, sendo indicado a utilização de implante cilíndricos, que previsivelmente compactam o tecido ósseo, otimizando a estabilidade primária.",Secundário: Objetivo Geral 2; Objetivo específico 4; A. Desenho do implante (macroengenharia); b.)Cônico. Terciário: Objetivo Geral 2; Objetivo específico 4; A. Desenho do implante (macroengenharia); c.) Cilíndrico.
,,C - Alterações ósseas,a - Cavidade,"Os seios maxilares são cavidades situadas no corpo da maxila, de formado piramidal quadrangular, estendendo-se geralmente dos segundos molares aos primeiros pré-molares superiores. Em relação ao seio maxilar, assinale a alternativa correta.",A perfuração de até 5mm da membrana sinusal pode ser reparada com membrana reabsorvível ou sutura simples com fio de sutura reabsorvível.,"A reabsorção do rebordo alveolar e a pneumatização do seio maxilar podem aumentar seu volume ósseo, sendo indicado a realização de enxertia óssea.",O processo de pneumatização do seio maxilar ocorre devido a menor atividade osteoclástica da membrana sinusal após perda dentária.,A técnica de levantamento de seio pela janela lateral é indicada quando a distância entre a crista do rebordo e o assoalho do seio maxilar for maior que 7 mm.,Objetivo Geral 2; Objetivo específico 5; H. Técnica de reconstrução ou preservação tecidual; c.) Técnicas; levantamento do assoalho do seio maxilar.
,,,b - Perda óssea vertical,Assinale a alternativa que não corresponde a uma hipótese de alteração das estruturas ósseas dos maxilares.,osteoporose,pneumatização do seio maxilar,cavidade cística,perda óssea vertical,não se aplica
,,,c - Perda óssea horizontal,"Na reconstrução de rebordos alveolares atróficos com fins à Implantodontia, considera-se enxerto aposicional em bloco:",Enxerto sobre cortical externa previamente perfurada,Enxerto entre osteotomias,Enxerto dentro do seio maxilar,Enxerto entre expansão cortico-medular,Objetivo Geral 2; Objetivo específico 6; H.) Técnica de reconstrução ou preservação tecidual; c.) Técnicas
,"2 - Diagnosticar as características de normalidade e alterações das mucosas bucais, e das estruturas de suporte dos elementos dentários",A - Características de normalidade das mucosas bucais,a - Anatomia da mucosa bucal,"Em relação às mucosas bucais, assinale a alternativa que corresponde a sequencia enumerada na imagem: (inserir a figura 1 que está no arquivo em anexo)",(1) mucosa alveolar; (2) junção mucogengival; (3) gengiva inserida,(1) mucosa alveolar; (2) gengiva marginal; (3) gengiva inserida,(1) gengiva marginal; (2) gengiva inserida; (3) gengiva interdental,(1) gengiva inserida; (2) junção mucogengival; (3) gengiva interdental,não se aplica
,,,b - Características da mucosa bucal sadia,"Em relação às mucosas bucais, assinale a alternativa correta:","A gengiva inserida é, normalmente, maior na região de incisivos e mais estreita nos segmentos posteriores.","A gengiva inserida é vermelha, lisa e brilhante.",A gengiva marginal é pontilhada.,A mucosa bucal tem a função de recobrir apenas o osso alveolar e a raiz dental.,não se aplica
,,,c - Fenótipos gengivais (ou biotipos gengivais),"Paciente procura sua clínica relatando que realizou a cirurgia de instalação de implante há 6 meses e que não consegue encontrar o cirurgião-dentista responsável pela cirurgia, sendo informado que ele mudou de país. Radiograficamente é possível observar que foi instalado um implante cônico  com um cover screw na região do 46. Clinicamente verifica-se que o implante foi sepultado pelos tecidos moles gengivais e que é possível ver um sombreamento acinzentado por transparência na gengiva. Assinale a alternativa correta:","Deve ser realizado a reabertura do implante com manejo da papila interimplantar, visando facilitar a higienização.",Pode-se afirmar que o outro profissional realizou a instalação de implante em alvéolo fresco.,"Com bisturi circular, perfurar o tecido mole e trocar o cover screw pelo cicatrizador, com o objetivo de preparar o tecido gengival para a moldagem.",A reabertura com manejo de tecido mole exige a realização de incisão parcial para preservar o arcabouço gengival já cicatrizado.,"Objetivo Geral 2; Objetivo específico 6; H.) Técnica de reconstrução ou preservação tecidual; c.) Técnicas; manejo dos tecidos moles (enxerto gengival livre, enxerto de tecido conjuntivo, enxerto misto)."
,,,d - Linha do sorriso,"Paciente jovem, 21 anos, tem como queixa principal as coroas dos dentes curtas e, quando sorri, mostra toda a papila interdental e mais de 2 mm da gengiva acima da margem gengival livre. Foi confirmada a ausência de harmonia entre altura e largura da coroa com auxílio da régua de Chu e a distância de 3mm entre a junção amelocementária e a crista óssea. Assinale a alternativa correta:",O que define a necessidade de realização da cirurgia de aumento de coroa clínica com ou sem osteotomia é a distância entre a junção amelocementária e a crista óssea,Não é possível prever a exposição radicular pós-operatória.,Este caso clínico certamente demanda a confecção de osteotomias.,Os “colarinhos” gengivais são necessariamente removidos com cureta periodontal na altura da junção amelocementária e suturas do tipo colchoeiro vertical interna são realizadas para fixar o tecido mole na posição desejada.,não se aplica
,,B - Alterações das mucosas bucais,a - Lesões brancas,Assinale a alternativa que corresponde a hipótese diagnóstica mais correta: (inserir a figura 2 que está no arquivo em anexo),Queimadura térmica,Queratose friccional,Lesão por mordida acidental (trauma),Leucoplasia por Cândida,não se aplica
,,,b - Lesões vermelhas,"Após 48 horas da consulta odontológica inicial, paciente entra em contato relatando coceira, vermelhidão e feridas no lábio inferior. Nenhum procedimento clínico foi realizado. Diante o exposto, qual o diagnóstico? Assinale a alternativa correta.",dermatite de contato alérgica,dermatite de contato irritativa,alergia ao látex,herpes labial,Objetivo geral 2; Objetivo específico 6; B. Biossegurança; b.) Equipamento de Proteção Individual (EPI).
,,,c - Lesões volumétricas,Assinale a alternativa que corresponde a hipótese diagnóstica mais correta: (inserir a figura 4 que está no arquivo em anexo),Carcinoma mucoepidermoide intraósseo,Sialoadenite,Pericoronarite,Adenoma pleomórfico,não se aplica
,,,d - Lesões neoplásicas,"Em relação às alterações das mucosas bucais, assinale a alternativa que correta.","Alterações das mucosas bucais, como hiperplasia, estomatite e carcinoma epidermóide, exigem a suspensão da cirurgia de instalação de implante dentário.","Paciente diagnosticado com Ameloblastoma é candidato a cirurgia para instalação de implante dentário, pois a lesão é benigna.",Candidíase eritematosa é uma alteração da mucosa bucal comum na sociedade e não há contraindicação para submeter o paciente a cirurgia de instalação de implante dentário.,As cirurgias de instalação de implante dentário devem ser adiadas quando o paciente apresenta lesões herpéticas na fase terciária.,Secundário: Objetivo Geral 1; Objetivo específico 2; B.) alterações das mucosas bucais; b.) Lesões vermelhas. Terciário: Objetivo Geral 1; Objetivo específico 2; B.) alterações das mucosas bucais; c.)Lesões volumétricas. Quaternário: Objetivo Geral 1; Objetivo específico 2; B.) alterações das mucosas bucais; a.) Lesões brancas. Quinquenário: Objetivo Geral 1; Objetivo específico 2; B.) alterações das mucosas bucais; e.) Lesões herpéticas.
,,,e - Lesões herpéticas,Assinale a alternativa que corresponde a hipótese diagnóstica mais correta: (inserir a figura 3 que está no arquivo em anexo),Queilite actínica,Herpes,Carcinoma epidermoide,Carcinma de células de Markel,não se aplica
,,C - Estrutura de suporte dos elementos dentários,a - Características de normalidade das estruturas de suporte dos elementos dentários,"A forma como um implante de titânio se integra ao tecido ósseo é substancialmente diferente da inserção existente entre um elemento dental e o seu respectivo alvéolo. Com relação a essas diferenças pode-se estabelecer que: I - O elemento dental apresenta menor mobilidade do que um implante osseointegrado. II - A inserção conjuntiva periodontal apresenta fibras colágenas orientadas perpendicularmente à superfície radicular e no implante as fibras, nos tecidos moles periimplanteres, correm paralelamente. III - O tecido periodontal, via de regra, é mais vascularizado e celularizado do que o tecido periimplantar. IV - As diferenças entre os tecidos periodontais e periimplantares repercutem, normalmente, em uma menor profundidade à sondagem ao redor do implante do que ao redor do dente, mesmo ambos apresentando saúde periimplantar e periodontal, respectivamente. É correto apenas o que se afirma em:",II e III,I e III,IV,"I, II, III e IV",não se aplica
,,,b - Características radiográficas,"Em relação à imagem as características de normalidade do osso alveolar, assinale a alternativa incorreta.","Radiograficamente, em pacientes com gengivite, a crista alveolar deixa de ser contínua com a lâmina dura de dentes adjacentes.","A altura da crista alveolar dos dentes posteriores fica em um nível aproximado de 0,5 a 2,0 mm abaixo das junções amelo-cementárias em relação aos dentes adjacentes.",A crista alveolar entre os dentes anteriores é geralmente pontiaguda.,A ausência de atividade de periodontite é radiograficamente caracterizada pelo contorno cortical bem mineralizado da crista alveolar.,não se aplica
,,D - Alterações das estruturas de suporte dos elementos dentários,a - Doenças periodontais,"Clinicamente foi observado que o implante do paciente A.R.S., do gênero masculino, 30 anos, instalado na região do dente 14 em janeiro de 2018, apresenta mobilidade horizontal maior que 0,5 mm. O que pode justificar esse prognóstico? Assinale a alternativa correta.",Peri-implantite,Periodontite decorrente de leucemia,Cisto odontogênico,Periodontite crônica,Objetivo Geral 3; B. Sucesso e insucesso na Implantodontia; b.) Insucesso dos implantes.
,,,b - Características radiográficas,"Em relação à imagem, qual a hipótese diagnóstica? Assinale a alternativa correta. (inserir figura 5 do arquivo em anexo)",Abscesso periodontal,Cisto odontogênico,Periodontite,Gengivite,não se aplica
2 - Planejar cirurgias de instalação de implantes,1 - Coleta de dados do paciente,A - Exames gerais,a - Anamnese,"Paciente do gênero feminino, 29 anos de idade, queixa-se que, no primeiro trimestre na gravidez, esporadicamente drenava pus da gengiva do dente 11. Hoje, no terceiro trimestre da gravidez, a coroa desse dente caiu. Clinicamente foi possível verificar a fratura radicular do referido elemento dentário, sendo indicada a exodontia atraumática e a instalação de implante. Diante do exposto, assinale a alternativa correta.","Lidocaína, penicilina, eritromicina e acetaminofen podem ser usados por gestantes.",Qualquer procedimento cirúrgico é contraindicado para gestantes.,A única intervenção odontológica que a gestante pode ser submetida é a profilaxia bucal para controle da gengivite gravídica.,"É completamente contraindicado realizar procedimentos cirúrgicos no primeiro trimestre de gravidez, devido a hipotensão que pode ocorrer na posição supino.",Objetivo Geral 2; Objetivo específico 1; 1.) Exames gerais; B.)Exame clínico.
,,,b - Exame clínico,"O cirurgião-dentista deve avaliar a qualidade de saúde dos dentes naturais por meio de índices endodônticos, periodontais e protéticos para conhecer a real viabilidade do dente. Assinale a alternativa correta.",Prognóstico incerto em relação ao dente adjacente ao sítio do futuro implante deve considerar a exodontia.,Paciente não colaborativo com envolvimento de furca grau II no dente 26 tem prognóstico de 5 a 10 anos.,"Paciente com lesão endodôntica maior do que 5 mm em elemento previamente tratado, tem prognóstico de 5 a 10 anos.",Elemento com mobilidade grau I ao lado do sítio cirúrgico tem prognóstico de mais de 10 anos.,Objetivo Geral 2; Objetivo específico 1; 1.) Exames gerais; A.) Anamnese.
,,,c - Exames laboratoriais,"Os exames laboratoriais pré-cirurgicos são essenciais para o planejamento e execução da cirurgia para instalação de implante dentário. Dentre as alternativas, qual exame laboratorial é dispensável?",TSH,Jejum por 12 horas,Hemograma,Coagulograma,não se aplica
,,,d - Exames imaginológicos,"O paciente F.J.F. relata que, em 2013, foi confeccionada uma coroa unitária sobre dente no elemento 21. Há 2 meses percebeu que a gengiva marginal livre está arroxeada e a que a prótese está se movimentando. Radiograficamente foi verificado presença de fratura radicular. Como cirurgião-dentista do paciente F.J.F., assinale a alternativa correta:","Após exodontia atraumática com periótomo, utilizar biomaterial de reabsorção lenta para manutenção do volume alveolar, protegendo a região com uma matriz colágena ou enxerto gengival.","Após anestesia infiltrativa, será realizado um retalho de espessura total na região do elemento 21, visando facilitar o rompimento da união das fibras dento-gengivais, favorecendo o procedimento de luxação.","A melhor alternativa para preservar o alvéolo é usar o extrator, considerada a técnica de exodontia minimamente invasiva.","Após realização atraumática com periótomo, posicionar uma membrana reabsorvível para preservar o coágulo dentro do alvéolo e impedir a migração gengival, minimizando a alteração dimensional do alvéolo pós-extração.",Secundário: Objetivo Geral 2; Objetivo específico 6; D. Anestesia; a.) Anestesia local. Terciário. :  Objetivo Geral 2; Objetivo específico 6; F. Acesso cirúrgico; c.) Retalho. Quaternário: Objetivo Geral 2; Objetivo específico 6; E.) Técnicas de exodontia; b.) Exodontia atraumática. Quintenário: Objetivo Geral 2; Objetivo específico 6; H. Técnica de reconstrução ou preservação tecidual; a.) Biomateriais; membrana. Sextenário: Objetivo Geral 2; Objetivo específico 6; H. Técnica de reconstrução ou preservação tecidual; a.) Biomateriais; enxerto ósseo.
